Customer ID,Recency,Frequency,Monetary,R,F,M,RFM_SCORE,Segment
12406.0,22,5,6390.36,4,4,5,445,Loyal Customers
12407.0,50,5,1708.1200000000001,4,4,4,444,Loyal Customers
12408.0,33,8,4340.7699999999995,4,4,5,445,Loyal Customers
12409.0,79,7,23419.29,3,4,5,345,Loyal Customers
12410.0,309,3,1013.71,2,3,3,233,At Risk
12411.0,410,1,346.9,2,1,2,212,Hibernating
12412.0,75,6,2596.93,3,4,4,344,Loyal Customers
12413.0,67,4,999.45,3,3,3,333,Need Attention
12414.0,217,6,952.41,2,4,3,243,At Risk
12415.0,24,28,144458.37,4,5,5,455,Loyal Customers
12416.0,657,1,202.56,1,1,1,111,Hibernating
12417.0,3,20,6816.91,5,5,5,555,Champions
12418.0,113,4,2021.2,3,3,4,334,Need Attention
12419.0,386,2,503.01,2,2,2,222,Hibernating
12420.0,64,1,600.39,3,1,2,312,About to Sleep
12421.0,16,6,1098.6,5,4,3,543,Champions
12422.0,96,17,5231.8,3,5,5,355,Loyal Customers
12423.0,1,10,2622.39,5,5,4,554,Champions
12424.0,163,4,3340.03,3,3,5,335,Need Attention
12425.0,78,2,1741.41,3,2,4,324,About to Sleep
12426.0,195,2,1345.21,2,2,4,224,Hibernating
12427.0,22,3,1129.3,4,3,3,433,Potential Loyalists
12428.0,26,9,7956.46,4,5,5,455,Loyal Customers
12429.0,9,8,7485.91,5,4,5,545,Champions
12430.0,43,1,256.4,4,1,1,411,Promising
12431.0,36,27,10857.97,4,5,5,455,Loyal Customers
12432.0,43,5,5059.32,4,4,5,445,Loyal Customers
12433.0,1,10,20581.26,5,5,5,555,Champions
12434.0,85,3,1103.43,3,3,3,333,Need Attention
12435.0,80,6,13925.93,3,4,5,345,Loyal Customers
12436.0,100,1,509.01,3,1,2,312,About to Sleep
12437.0,2,39,12683.4,5,5,5,555,Champions
12438.0,14,2,2906.85,5,2,4,524,Potential Loyalists
12439.0,683,2,1158.18,1,2,3,123,Hibernating
12440.0,462,2,859.2,1,2,3,123,Hibernating
12441.0,367,1,347.1,2,1,2,212,Hibernating
12442.0,3,1,172.06,5,1,1,511,New Customers
12443.0,732,1,485.31,1,1,2,112,Hibernating
12444.0,21,5,5005.46,4,4,5,445,Loyal Customers
12445.0,22,2,434.98,4,2,2,422,Potential Loyalists
12446.0,58,1,1002.3100000000001,4,1,3,413,Promising
12447.0,243,1,476.49,2,1,2,212,Hibernating
12448.0,44,1,449.45,4,1,2,412,Promising
12449.0,22,6,4835.89,4,4,5,445,Loyal Customers
12450.0,156,5,688.2,3,4,3,343,Loyal Customers
12451.0,11,8,12669.88,5,4,5,545,Champions
12452.0,17,2,430.57,5,2,2,522,Potential Loyalists
12453.0,134,1,707.09,3,1,3,313,About to Sleep
12454.0,56,5,16679.78,4,4,5,445,Loyal Customers
12455.0,73,10,5879.95,3,5,5,355,Loyal Customers
12456.0,44,3,3181.04,4,3,5,435,Potential Loyalists
12457.0,66,8,2995.91,3,4,5,345,Loyal Customers
12458.0,71,4,1777.49,3,3,4,334,Need Attention
12459.0,605,1,454.36,1,1,2,112,Hibernating
12460.0,456,1,326.65,1,1,2,112,Hibernating
12461.0,94,2,826.88,3,2,3,323,About to Sleep
12462.0,19,2,1189.59,5,2,3,523,Potential Loyalists
12463.0,53,4,1344.78,4,3,4,434,Potential Loyalists
12464.0,10,8,1212.05,5,4,3,543,Champions
12465.0,17,2,742.1899999999999,5,2,3,523,Potential Loyalists
12466.0,682,1,56.73,1,1,1,111,Hibernating
12467.0,423,1,132.8,1,1,1,111,Hibernating
12468.0,188,5,3670.74,3,4,5,345,Loyal Customers
12469.0,523,2,3070.54,1,2,5,125,Hibernating
12470.0,690,1,211.95,1,1,1,111,Hibernating
12471.0,2,79,39963.79,5,5,5,555,Champions
12472.0,32,19,17880.59,4,5,5,455,Loyal Customers
12473.0,29,5,3938.5499999999997,4,4,5,445,Loyal Customers
12474.0,17,31,12424.45,5,5,5,555,Champions
12475.0,54,2,1149.64,4,2,3,423,Potential Loyalists
12476.0,16,23,14115.41,5,5,5,555,Champions
12477.0,23,9,20276.37,4,5,5,455,Loyal Customers
12478.0,4,1,680.99,5,1,3,513,New Customers
12479.0,11,1,527.2,5,1,2,512,New Customers
12480.0,28,7,5464.85,4,4,5,445,Loyal Customers
12481.0,23,15,12361.39,4,5,5,455,Loyal Customers
12482.0,576,29,23691.4,1,5,5,155,Can't Lose
12483.0,17,19,5120.58,5,5,5,555,Champions
12484.0,33,12,6370.15,4,5,5,455,Loyal Customers
12485.0,529,1,708.1,1,1,3,113,Hibernating
12486.0,432,1,1037.28,1,1,3,113,Hibernating
12487.0,731,1,285.29999999999995,1,1,1,111,Hibernating
12488.0,10,3,1298.66,5,3,4,534,Potential Loyalists
12489.0,336,1,334.93,2,1,2,212,Hibernating
12490.0,5,21,9823.64,5,5,5,555,Champions
12491.0,39,1,460.40000000000003,4,1,2,412,Promising
12492.0,63,3,715.21,3,3,3,333,Need Attention
12493.0,166,2,433.74,3,2,2,322,About to Sleep
12494.0,16,9,1872.8700000000001,5,5,4,554,Champions
12495.0,641,1,357.4,1,1,2,112,Hibernating
12496.0,620,2,54.09,1,2,1,121,Hibernating
12497.0,82,3,6248.5,3,3,5,335,Need Attention
12498.0,21,3,403.70000000000005,4,3,2,432,Potential Loyalists
12499.0,560,1,393.72,1,1,2,112,Hibernating
12500.0,23,19,5955.21,4,5,5,455,Loyal Customers
12501.0,337,1,2169.39,2,1,4,214,Hibernating
12502.0,96,5,3723.87,3,4,5,345,Loyal Customers
12503.0,584,1,1126.0,1,1,3,113,Hibernating
12504.0,18,4,779.05,5,3,3,533,Potential Loyalists
12505.0,409,1,955.2,2,1,3,213,Hibernating
12506.0,233,1,73.5,2,1,1,211,Hibernating
12507.0,134,4,1844.06,3,3,4,334,Need Attention
12508.0,26,2,398.27,4,2,2,422,Potential Loyalists
12509.0,284,1,176.5,2,1,1,211,Hibernating
12510.0,143,9,5178.02,3,5,5,355,Loyal Customers
12511.0,429,1,3084.02,1,1,5,115,Hibernating
12512.0,66,2,138.03,3,2,1,321,About to Sleep
12513.0,113,1,612.29,3,1,2,312,About to Sleep
12514.0,267,2,1597.76,2,2,4,224,Hibernating
12515.0,353,1,383.7,2,1,2,212,Hibernating
12516.0,78,4,2648.62,3,3,4,334,Need Attention
12517.0,28,5,2502.84,4,4,4,444,Loyal Customers
12518.0,1,5,2056.89,5,4,4,544,Champions
12519.0,64,2,726.54,3,2,3,323,About to Sleep
12520.0,79,5,2634.26,3,4,4,344,Loyal Customers
12521.0,143,1,599.68,3,1,2,312,About to Sleep
12522.0,39,2,192.72,4,2,1,421,Potential Loyalists
12523.0,19,23,4372.15,5,5,5,555,Champions
12524.0,9,17,11126.11,5,5,5,555,Champions
12525.0,498,3,973.73,1,3,3,133,At Risk
12526.0,1,3,1316.66,5,3,4,534,Potential Loyalists
12527.0,82,5,735.51,3,4,3,343,Loyal Customers
12528.0,9,6,1933.48,5,4,4,544,Champions
12529.0,528,1,316.48,1,1,2,112,Hibernating
12530.0,60,9,3759.26,3,5,5,355,Loyal Customers
12531.0,15,2,1933.2,5,2,4,524,Potential Loyalists
12532.0,30,1,349.83000000000004,4,1,2,412,Promising
12533.0,628,2,1367.89,1,2,4,124,Hibernating
12534.0,131,1,1089.18,3,1,3,313,About to Sleep
12535.0,92,2,716.35,3,2,3,323,About to Sleep
12536.0,43,3,12601.830000000002,4,3,5,435,Potential Loyalists
12537.0,409,1,732.94,2,1,3,213,Hibernating
12538.0,29,2,640.45,4,2,3,423,Potential Loyalists
12539.0,22,7,11214.75,4,4,5,445,Loyal Customers
12540.0,20,33,22254.49,4,5,5,455,Loyal Customers
12541.0,30,3,981.18,4,3,3,433,Potential Loyalists
12542.0,484,2,481.88,1,2,2,122,Hibernating
12543.0,448,1,980.25,1,1,3,113,Hibernating
12544.0,36,1,372.7,4,1,2,412,Promising
12545.0,75,2,1000.39,3,2,3,323,About to Sleep
12546.0,47,2,1161.5,4,2,3,423,Potential Loyalists
12547.0,198,3,383.58,2,3,2,232,At Risk
12548.0,166,1,95.19999999999999,3,1,1,311,About to Sleep
12549.0,576,6,1575.68,1,4,4,144,At Risk
12550.0,79,1,964.83,3,1,3,313,About to Sleep
12551.0,358,1,168.0,2,1,1,211,Hibernating
12552.0,39,2,437.82,4,2,2,422,Potential Loyalists
12553.0,8,12,4608.75,5,5,5,555,Champions
12554.0,449,1,468.5,1,1,2,112,Hibernating
12555.0,682,1,129.23,1,1,1,111,Hibernating
12556.0,50,2,603.71,4,2,2,422,Potential Loyalists
12557.0,16,8,18716.14,5,4,5,545,Champions
12558.0,8,1,269.96,5,1,1,511,New Customers
12559.0,311,2,561.71,2,2,2,222,Hibernating
12560.0,5,3,2134.01,5,3,4,534,Potential Loyalists
12561.0,303,1,238.85,2,1,1,211,Hibernating
12562.0,8,9,4966.92,5,5,5,555,Champions
12563.0,409,1,249.24,2,1,1,211,Hibernating
12564.0,261,1,456.9,2,1,2,212,Hibernating
12565.0,289,1,145.92,2,1,1,211,Hibernating
12566.0,86,1,351.65,3,1,2,312,About to Sleep
12567.0,23,15,13709.86,4,5,5,455,Loyal Customers
12568.0,645,1,70.0,1,1,1,111,Hibernating
12569.0,2,32,4124.69,5,5,5,555,Champions
12570.0,682,1,77.52,1,1,1,111,Hibernating
12571.0,40,2,519.61,4,2,2,422,Potential Loyalists
12572.0,9,2,1020.42,5,2,3,523,Potential Loyalists
12573.0,227,5,717.41,2,4,3,243,At Risk
12574.0,316,1,218.45,2,1,1,211,Hibernating
12575.0,457,2,622.8199999999999,1,2,3,123,Hibernating
12576.0,36,8,2142.72,4,4,4,444,Loyal Customers
12577.0,35,8,1653.75,4,4,4,444,Loyal Customers
12578.0,21,4,4642.45,4,3,5,435,Potential Loyalists
12579.0,78,1,440.42,3,1,2,312,About to Sleep
12580.0,247,2,1052.9,2,2,3,223,Hibernating
12581.0,40,1,197.71,4,1,1,411,Promising
12582.0,239,4,1980.4,2,3,4,234,At Risk
12583.0,3,27,14447.44,5,5,5,555,Champions
12584.0,4,9,2338.15,5,5,4,554,Champions
12585.0,234,2,2040.1,2,2,4,224,Hibernating
12586.0,17,4,2062.67,5,3,4,534,Potential Loyalists
12587.0,8,1,144.0,5,1,1,511,New Customers
12588.0,39,4,958.78,4,3,3,433,Potential Loyalists
12589.0,29,8,4695.66,4,4,5,445,Loyal Customers
12590.0,211,2,9864.26,2,2,5,225,Hibernating
12591.0,317,3,1352.15,2,3,4,234,At Risk
12592.0,92,5,2582.66,3,4,4,344,Loyal Customers
12593.0,109,3,418.09999999999997,3,3,2,332,Need Attention
12594.0,38,15,5090.110000000001,4,5,5,455,Loyal Customers
12595.0,505,1,299.02,1,1,2,112,Hibernating
12596.0,51,2,618.27,4,2,3,423,Potential Loyalists
12597.0,19,4,3811.22,5,3,5,535,Potential Loyalists
12598.0,10,11,4534.09,5,5,5,555,Champions
12599.0,29,13,2296.72,4,5,4,454,Loyal Customers
12600.0,29,21,5043.92,4,5,5,455,Loyal Customers
12601.0,190,6,681.26,2,4,3,243,At Risk
12602.0,59,1,153.12,4,1,1,411,Promising
12603.0,22,1,739.1999999999999,4,1,3,413,Promising
12604.0,79,2,254.18,3,2,1,321,About to Sleep
12605.0,376,4,1232.95,2,3,3,233,At Risk
12606.0,682,1,21.0,1,1,1,111,Hibernating
12607.0,60,1,1579.51,3,1,4,314,About to Sleep
12608.0,405,1,415.79,2,1,2,212,Hibernating
12609.0,78,9,3435.86,3,5,5,355,Loyal Customers
12610.0,23,5,2099.54,4,4,4,444,Loyal Customers
12611.0,52,1,1193.32,4,1,3,413,Promising
12612.0,74,1,704.0400000000001,3,1,3,313,About to Sleep
12613.0,57,10,6835.07,4,5,5,455,Loyal Customers
12614.0,278,1,315.6,2,1,2,212,Hibernating
12615.0,2,8,5740.98,5,4,5,545,Champions
12616.0,95,3,1131.1,3,3,3,333,Need Attention
12617.0,29,1,355.53,4,1,2,412,Promising
12618.0,22,1,177.31,4,1,1,411,Promising
12619.0,16,10,3781.38,5,5,5,555,Champions
12620.0,15,3,1339.41,5,3,4,534,Potential Loyalists
12621.0,2,35,24775.81,5,5,5,555,Champions
12622.0,232,1,180.1,2,1,1,211,Hibernating
12623.0,276,7,3747.84,2,4,5,245,At Risk
12624.0,106,2,641.13,3,2,3,323,About to Sleep
12625.0,212,4,5164.88,2,3,5,235,At Risk
12626.0,23,9,6620.48,4,5,5,455,Loyal Customers
12627.0,11,7,4478.53,5,4,5,545,Champions
12628.0,4,3,786.46,5,3,3,533,Potential Loyalists
12629.0,386,2,1558.22,2,2,4,224,Hibernating
12630.0,10,2,1270.88,5,2,4,524,Potential Loyalists
12631.0,57,6,3481.57,4,4,5,445,Loyal Customers
12632.0,521,2,804.88,1,2,3,123,Hibernating
12633.0,59,7,5678.16,4,4,5,445,Loyal Customers
12634.0,536,2,490.0,1,2,2,122,Hibernating
12635.0,90,4,2930.41,3,3,4,334,Need Attention
12636.0,739,1,141.0,1,1,1,111,Hibernating
12637.0,67,12,8340.31,3,5,5,355,Loyal Customers
12638.0,33,2,921.49,4,2,3,423,Potential Loyalists
12639.0,239,3,1312.37,2,3,4,234,At Risk
12640.0,24,3,1174.58,4,3,3,433,Potential Loyalists
12641.0,115,1,185.9,3,1,1,311,About to Sleep
12642.0,25,3,1013.26,4,3,3,433,Potential Loyalists
12643.0,128,12,8350.42,3,5,5,355,Loyal Customers
12644.0,130,4,1918.49,3,3,4,334,Need Attention
12645.0,34,8,3539.3,4,4,5,445,Loyal Customers
12646.0,5,2,1346.97,5,2,4,524,Potential Loyalists
12647.0,22,36,17924.35,4,5,5,455,Loyal Customers
12648.0,155,4,1112.0,3,3,3,333,Need Attention
12649.0,107,8,2294.65,3,4,4,344,Loyal Customers
12650.0,3,1,314.44,5,1,2,512,New Customers
12651.0,335,4,377.75,2,3,2,232,At Risk
12652.0,331,2,1017.03,2,2,3,223,Hibernating
12653.0,149,3,4160.83,3,3,5,335,Need Attention
12654.0,11,5,601.98,5,4,2,542,Champions
12655.0,424,1,261.35,1,1,1,111,Hibernating
12656.0,17,8,6407.83,5,4,5,545,Champions
12657.0,11,4,1643.18,5,3,4,534,Potential Loyalists
12658.0,19,1,686.05,5,1,3,513,New Customers
12659.0,30,1,91.68,4,1,1,411,Promising
12660.0,11,1,245.1,5,1,1,511,New Customers
12661.0,436,1,162.0,1,1,1,111,Hibernating
12662.0,1,20,6988.02,5,5,5,555,Champions
12663.0,625,2,239.4,1,2,1,121,Hibernating
12664.0,8,11,6070.04,5,5,5,555,Champions
12665.0,325,3,313.6,2,3,2,232,At Risk
12666.0,394,1,1248.42,2,1,3,213,Hibernating
12667.0,58,1,620.13,4,1,3,413,Promising
12668.0,12,10,11444.68,5,5,5,555,Champions
12669.0,151,3,2744.0299999999997,3,3,4,334,Need Attention
12670.0,10,7,3760.29,5,4,5,545,Champions
12671.0,606,1,2622.481,1,1,4,114,Hibernating
12672.0,330,2,437.05,2,2,2,222,Hibernating
12673.0,5,3,1230.02,5,3,3,533,Potential Loyalists
12674.0,39,4,1970.6,4,3,4,434,Potential Loyalists
12675.0,554,2,958.5,1,2,3,123,Hibernating
12676.0,25,11,2843.09,4,5,4,454,Loyal Customers
12677.0,555,2,395.1,1,2,2,122,Hibernating
12678.0,42,21,34281.18,4,5,5,455,Loyal Customers
12679.0,59,4,1113.02,4,3,3,433,Potential Loyalists
12680.0,1,4,880.81,5,3,3,533,Potential Loyalists
12681.0,15,45,30868.28,5,5,5,555,Champions
12682.0,4,52,24033.91,5,5,5,555,Champions
12683.0,4,21,12696.78,5,5,5,555,Champions
12684.0,8,7,2283.63,5,4,4,544,Champions
12685.0,28,6,2863.08,4,4,4,444,Loyal Customers
12686.0,372,1,178.28,2,1,1,211,Hibernating
12687.0,481,2,2138.91,1,2,4,124,Hibernating
12688.0,114,1,4873.8099999999995,3,1,5,315,About to Sleep
12689.0,26,2,1247.61,4,2,3,423,Potential Loyalists
12690.0,206,1,389.01,2,1,2,212,Hibernating
12691.0,28,7,1170.4,4,4,3,443,Loyal Customers
12692.0,637,1,110.95,1,1,1,111,Hibernating
12693.0,127,7,1703.02,3,4,4,344,Loyal Customers
12694.0,70,3,1843.35,3,3,4,334,Need Attention
12695.0,7,7,1407.1200000000001,5,4,4,544,Champions
12696.0,435,2,851.91,1,2,3,123,Hibernating
12697.0,29,3,957.59,4,3,3,433,Potential Loyalists
12698.0,590,1,339.75,1,1,2,112,Hibernating
12699.0,418,1,638.11,1,1,3,113,Hibernating
12700.0,8,4,4939.99,5,3,5,535,Potential Loyalists
12701.0,80,6,2446.41,3,4,4,344,Loyal Customers
12702.0,20,1,219.0,4,1,1,411,Promising
12703.0,71,4,1006.53,3,3,3,333,Need Attention
12704.0,7,8,2340.84,5,4,4,544,Champions
12705.0,15,14,11762.1,5,5,5,555,Champions
12707.0,292,1,603.42,2,1,2,212,Hibernating
12708.0,30,18,5314.1,4,5,5,455,Loyal Customers
12709.0,15,34,31093.34,5,5,5,555,Champions
12710.0,97,3,1149.02,3,3,3,333,Need Attention
12711.0,612,2,1339.05,1,2,4,124,Hibernating
12712.0,29,21,7193.66,4,5,5,455,Loyal Customers
12713.0,1,1,848.55,5,1,3,513,New Customers
12714.0,9,12,14093.71,5,5,5,555,Champions
12715.0,106,1,353.86,3,1,2,312,About to Sleep
12716.0,4,2,1053.49,5,2,3,523,Potential Loyalists
12717.0,151,3,1308.91,3,3,4,334,Need Attention
12718.0,71,1,238.25,3,1,1,311,About to Sleep
12719.0,5,2,644.95,5,2,3,523,Potential Loyalists
12720.0,3,30,8260.67,5,5,5,555,Champions
12721.0,32,8,4013.08,4,4,5,445,Loyal Customers
12722.0,85,4,997.63,3,3,3,333,Need Attention
12723.0,4,5,725.07,5,4,3,543,Champions
12724.0,5,7,2317.52,5,4,4,544,Champions
12725.0,371,4,2694.56,2,3,4,234,At Risk
12726.0,28,11,4014.6,4,5,5,455,Loyal Customers
12727.0,11,10,5679.53,5,5,5,555,Champions
12728.0,71,5,1070.17,3,4,3,343,Loyal Customers
12729.0,114,1,453.01,3,1,2,312,About to Sleep
12730.0,522,1,829.25,1,1,3,113,Hibernating
12731.0,24,17,25775.71,4,5,5,455,Loyal Customers
12732.0,180,1,236.26000000000002,3,1,1,311,About to Sleep
12733.0,234,4,2424.87,2,3,4,234,At Risk
12734.0,353,3,639.65,2,3,3,233,At Risk
12735.0,315,2,779.5699999999999,2,2,3,223,Hibernating
12736.0,333,1,234.0,2,1,1,211,Hibernating
12737.0,499,2,3710.5,1,2,5,125,Hibernating
12738.0,372,1,310.7,2,1,2,212,Hibernating
12739.0,78,4,2726.73,3,3,4,334,Need Attention
12740.0,64,1,427.6,3,1,2,312,About to Sleep
12741.0,529,2,406.07,1,2,2,122,Hibernating
12742.0,626,1,1201.52,1,1,3,113,Hibernating
12743.0,134,2,546.43,3,2,2,322,About to Sleep
12744.0,52,11,25317.06,4,5,5,455,Loyal Customers
12745.0,487,3,925.41,1,3,3,133,At Risk
12746.0,541,1,254.55,1,1,1,111,Hibernating
12747.0,2,26,9276.539999999999,5,5,5,555,Champions
12748.0,1,336,56599.39,5,5,5,555,Champions
12749.0,4,9,6897.36,5,5,5,555,Champions
12750.0,129,1,275.88,3,1,1,311,About to Sleep
12751.0,445,1,268.27,1,1,1,111,Hibernating
12752.0,81,1,4366.78,3,1,5,315,About to Sleep
12753.0,23,6,21429.39,4,4,5,445,Loyal Customers
12754.0,236,3,3010.74,2,3,5,235,At Risk
12755.0,281,11,9030.66,2,5,5,255,Can't Lose
12756.0,87,1,112.07999999999998,3,1,1,311,About to Sleep
12757.0,16,13,7857.1,5,5,5,555,Champions
12758.0,117,7,9903.24,3,4,5,345,Loyal Customers
12759.0,52,8,5020.74,4,4,5,445,Loyal Customers
12760.0,456,1,347.8,1,1,2,112,Hibernating
12761.0,458,2,782.95,1,2,3,123,Hibernating
12762.0,8,2,1898.52,5,2,4,524,Potential Loyalists
12763.0,138,2,814.16,3,2,3,323,About to Sleep
12764.0,317,1,1693.88,2,1,4,214,Hibernating
12765.0,472,6,1404.58,1,4,4,144,At Risk
12766.0,4,9,10068.28,5,5,5,555,Champions
12767.0,376,1,949.82,2,1,3,213,Hibernating
12768.0,451,1,168.69000000000003,1,1,1,111,Hibernating
12769.0,239,1,1143.6,2,1,3,213,Hibernating
12770.0,211,2,3246.45,2,2,5,225,Hibernating
12771.0,486,1,282.3,1,1,1,111,Hibernating
12772.0,60,1,892.47,3,1,3,313,About to Sleep
12773.0,564,1,124.25,1,1,1,111,Hibernating
12774.0,536,1,98.7,1,1,1,111,Hibernating
12775.0,17,7,1686.12,5,4,4,544,Champions
12776.0,668,1,55.5,1,1,1,111,Hibernating
12777.0,458,1,519.45,1,1,2,112,Hibernating
12778.0,20,9,1775.68,4,5,4,454,Loyal Customers
12779.0,38,14,6722.2699999999995,4,5,5,455,Loyal Customers
12780.0,599,1,337.4,1,1,2,112,Hibernating
12781.0,64,2,826.74,3,2,3,323,About to Sleep
12782.0,5,11,4618.24,5,5,5,555,Champions
12783.0,2,6,2225.91,5,4,4,544,Champions
12784.0,9,3,1804.75,5,3,4,534,Potential Loyalists
12785.0,364,3,1100.4,2,3,3,233,At Risk
12786.0,610,1,728.5,1,1,3,113,Hibernating
12787.0,10,4,862.18,5,3,3,533,Potential Loyalists
12788.0,463,4,444.9,1,3,2,132,At Risk
12789.0,65,3,273.35,3,3,1,331,Need Attention
12790.0,192,2,591.85,2,2,2,222,Hibernating
12791.0,374,6,1056.1100000000001,2,4,3,243,At Risk
12792.0,257,2,827.01,2,2,3,223,Hibernating
12793.0,335,3,1017.33,2,3,3,233,At Risk
12794.0,53,2,860.41,4,2,3,423,Potential Loyalists
12795.0,19,1,430.48,5,1,2,512,New Customers
12796.0,628,1,381.0,1,1,2,112,Hibernating
12797.0,366,2,806.11,2,2,3,223,Hibernating
12798.0,10,4,8510.93,5,3,5,535,Potential Loyalists
12799.0,529,1,219.35,1,1,1,111,Hibernating
12800.0,470,3,584.25,1,3,2,132,At Risk
12801.0,501,1,1071.82,1,1,3,113,Hibernating
12802.0,187,7,2416.42,3,4,4,344,Loyal Customers
12803.0,393,1,1092.81,2,1,3,213,Hibernating
12804.0,466,2,327.02,1,2,2,122,Hibernating
12805.0,382,4,1434.95,2,3,4,234,At Risk
12806.0,435,4,2878.96,1,3,4,134,At Risk
12807.0,383,1,330.35,2,1,2,212,Hibernating
12808.0,37,5,906.1,4,4,3,443,Loyal Customers
12809.0,178,3,1755.94,3,3,4,334,Need Attention
12810.0,535,2,534.99,1,2,2,122,Hibernating
12811.0,261,5,1033.9,2,4,3,243,At Risk
12812.0,45,1,229.64000000000001,4,1,1,411,Promising
12813.0,502,3,1687.8,1,3,4,134,At Risk
12814.0,102,1,125.92,3,1,1,311,About to Sleep
12815.0,148,2,1063.46,3,2,3,323,About to Sleep
12816.0,96,2,572.2,3,2,2,322,About to Sleep
12817.0,281,3,690.98,2,3,3,233,At Risk
12818.0,262,1,1542.08,2,1,4,214,Hibernating
12819.0,458,1,540.52,1,1,2,112,Hibernating
12820.0,3,11,2689.52,5,5,4,554,Champions
12821.0,214,2,220.8,2,2,1,221,Hibernating
12822.0,71,2,948.88,3,2,3,323,About to Sleep
12823.0,75,18,6501.5,3,5,5,355,Loyal Customers
12824.0,60,1,397.12,3,1,2,312,About to Sleep
12825.0,521,2,518.63,1,2,2,122,Hibernating
12826.0,3,12,2955.75,5,5,4,554,Champions
12827.0,6,3,430.15000000000003,5,3,2,532,Potential Loyalists
12828.0,3,6,1018.71,5,4,3,543,Champions
12829.0,337,3,385.3,2,3,2,232,At Risk
12830.0,38,6,6814.64,4,4,5,445,Loyal Customers
12831.0,262,3,451.11,2,3,2,232,At Risk
12832.0,32,2,383.03,4,2,2,422,Potential Loyalists
12833.0,145,1,417.38,3,1,2,312,About to Sleep
12834.0,283,1,312.38,2,1,2,212,Hibernating
12835.0,428,41,6043.31,1,5,5,155,Can't Lose
12836.0,59,15,6585.62,4,5,5,455,Loyal Customers
12837.0,173,2,688.41,3,2,3,323,About to Sleep
12838.0,34,10,3398.48,4,5,5,455,Loyal Customers
12839.0,3,26,10071.73,5,5,5,555,Champions
